"General Rank",US News Ranking,"F1 Slots Ranking","Regional Ranking",University,City,State,% Chance,Rank Class (Estimated),Private / Public,Category
NA,NA,211,62,Champlain College,Burlington,Vermont,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,131-171,Northern  Vermont  University,Johnson,Vermont,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,Unranked,Goddard College,Plainfield,Vermont,50% to 50%,Below Average,Private,Regional Universities
NA,NA,31,3,James Madison University,Harrisbourg,Virginia,90% to 99%,Excellent,Private,Regional Universities
40,25,32,-,University of Virginia,Charlottesville,Virginia,90% to 99%,Excellent,Public,National Universities
NA,NA,43,7,Christopher Newport  University,Newport  News,Virginia,80% to 89%,Very Good,Private,Regional Universities
73,73,73,-,Virginia  Polytechnic Institute,Virginia,Virginia,80% to 89%,Very Good,Public,National Universities
89,148,118,-,George Mason University,Fairfax,Virginia,70% to 79%,Good,Private,National Universities
172,172,172,-,Virginia  Commonwealth University,Richmond,Virginia,70% to 79%,Good,Public,National Universities
202,202,202,-,Hampton  University,Hampton,Virginia,60% to 69%,Average,Private,National Universities
263,263,263,-,Old Dominion  University,Norfolk,Virginia,60% to 69%,Average,Private,National Universities
263,263,263,-,Shenandoah University,Winchester,Virginia,60% to 69%,Average,Private,National Universities
277,277,277,-,Regent University,Virginia  Beach,Virginia,60% to 69%,Average,Private,National Universities
299-391,299-391,299-391,-,Liberty University,Lynchburg,Virginia,50% to 50%,Below Average,Private,National Universities
299-391,299-391,299-391,-,Mary Baldwin University,Staunton,Virginia,50% to 50%,Below Average,Private,National Universities
NA,NA,34,4,Whitworth University,Spokane,Washington DC,90% to 99%,Excellent,Private,Regional Universities
24,59,41,-,University of Washington,Seattle,Washington DC,80% to 89%,Very Good,Public,National Universities
79,79,79,-,Gonzaga  University,Spokane,Washington DC,80% to 89%,Very Good,Private,National Universities
NA,NA,67,14,Pacific Lutheran  University,Tacoma,Washington DC,70% to 79%,Good,Private,Regional Universities
NA,NA,73,16,Western  Washington University,Bellingham,Washington DC,70% to 79%,Good,Public,Regional Universities
NA,NA,106,27,University of Washington--Bothell,Bothell,Washington DC,70% to 79%,Good,Public,Regional Universities
NA,NA,120,30,University of Washington--Tacoma,Tacoma,Washington DC,70% to 79%,Good,Public,Regional Universities
127,127,127,-,Seattle University,Seattle,Washington DC,70% to 79%,Good,Private,National Universities
NA,NA,130,35,Saint Martin's  University,Lacey,Washington DC,70% to 79%,Good,Private,Regional Universities
NA,NA,163,46,Central  Washington University,Ellensburg,Washington DC,70% to 79%,Good,Public,Regional Universities
179,179,179,-,Washington State University,Pullman,Washington DC,70% to 79%,Good,Public,National Universities
NA,NA,172,50,The Evergreen State College,Olympia,Washington DC,60% to 69%,Average,Public,Regional Universities
NA,NA,190,55,Northwest University,Kirkland,Washington DC,60% to 69%,Average,Private,Regional Universities
NA,NA,202,60,Eastern Washington University,Cheney,Washington DC,60% to 69%,Average,Public,Regional Universities
227,227,227,-,Seattle Pacific University,Seattle,Washington DC,60% to 69%,Average,Private,National Universities
NA,NA,261,77,Walla Walla University,College Place,Washington DC,60% to 69%,Average,Private,Regional Universities
NA,NA,NA,94-122,Heritage  University,Toppenish,Washington DC,50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,Unranked,City University of Seattle,Seattle,Washington DC,50% to 50%,Below Average,Private,Regional Universities
45,63,54,-,George Washington University,Washington DC,Washington DC,80% to 89%,Very Good,Private,National Universities
NA,NA,NA,131-171,Trinity Washington University,"Washington DC","Washington DC",50% to 50%,Below Average,Private,Regional Universities
26,23,49,-,Georgetown University,"Washington DC","Washington DC",90% to 99%,Excellent,Private,National Universities
79,79,79,-,American  University,"Washington DC","Washington DC",80% to 89%,Very Good,Private,National Universities
83,83,83,-,Howard University,Washington DC,"Washington DC",80% to 89%,Very Good,Private,National Universities
127,127,127,-,Gallaudet  University,Washington,"Washington DC",70% to 79%,Good,Private,National Universities
136,136,136,-,The Catholic University of America,"Washington DC","Washington DC",70% to 79%,Good,Private,National Universities
NA,NA,NA,Unranked,University of the District of Columbia,"Washington DC","Washington DC",50% to 50%,Below Average,Private,Regional Universities
NA,NA,NA,Unranked,Strayer University,"Washington DC","Washington DC",50% to 50%,Below Average,Private,Regional Universities
249,249,249,-,West Virginia  University,Morgantown,West Virginia,60% to 69%,Average,Public,National Universities
288,288,288,-,Marshall  University,Huntington,West Virginia,60% to 69%,Average,Private,National Universities
299-391,299-391,299-391,-,University of Charleston,Charleston,West Virginia,50% to 50%,Below Average,Private,National Universities
58,42,50,-,University of Wisconsin--Madison,Madison,Wisconsin,90% to 99%,Excellent,Public,National Universities
NA,NA,46,8,Milwaukee School of Engineering,Milwaukee,Wisconsin,80% to 89%,Very Good,Private,Regional Universities
83,83,83,-,Marquette University,Milwaukee,Wisconsin,80% to 89%,Very Good,Private,National Universities
